game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_pass_yds,home_pass_cmp,home_pass_att,away_pass_yds,away_pass_cmp,away_pass_att,home_moneyline,away_moneyline,home_off_epa_per_play,home_off_cpoe,home_def_epa_per_play,away_off_epa_per_play,away_off_cpoe,away_def_epa_per_play,home_roll_pts_scored,home_roll_pts_allowed,home_roll_off_epa,home_roll_def_epa,home_roll_off_cpoe,away_roll_pts_scored,away_roll_pts_allowed,away_roll_off_epa,away_roll_def_epa,away_roll_off_cpoe,home_roll_passing_yards,home_roll_rushing_yards,home_roll_completion_pct,home_roll_net_yds_per_play,away_roll_passing_yards,away_roll_rushing_yards,away_roll_completion_pct,away_roll_net_yds_per_play,diff_pts_scored,diff_pts_allowed,diff_pass_yds,diff_rush_yds,diff_comp_pct,diff_net_yds_play,diff_off_epa,diff_def_epa,diff_off_cpoe
2023_03_IND_BAL,2023,3,2023-09-24,BAL,IND,19,22,202,22,31,227,27,44,-380,300,-0.1447947964237003,0.8391693234443665,-0.1542500468265993,-0.1542500468265993,-3.2286529739697776,-0.1447947964237003,25.8,15.000000000000002,0.0657189204331732,-0.15745249644527595,9.162354825379012,25.0,26.599999999999998,-0.1316260431374034,-0.14748478783508326,-3.7389071481695235,196.20000000000002,137.2,0.7545454545454545,5.257635467980296,224.6,89.4,0.6722610722610722,5.0257763975155285,0.8000000000000007,11.599999999999996,-28.399999999999977,47.79999999999998,0.08228438228438228,0.2318590704647674,0.1973449635705766,0.009967708610192694,12.901261973548536
2023_03_TEN_CLE,2023,3,2023-09-24,CLE,TEN,27,3,289,27,33,104,13,25,-185,154,0.1383111401597541,19.465619421774345,-0.3846704867704668,-0.3846704867704668,-5.90042769908905,0.1383111401597541,23.2,12.200000000000001,-0.17584539521078654,-0.40365382093169244,-7.136472773963008,19.8,19.200000000000003,-0.07432223459426289,-0.010207004538292423,-5.000445964661511,186.4,202.8,0.5510344827586207,5.1382716049382715,217.2,118.8,0.615686274509804,5.528329297820823,3.3999999999999986,7.000000000000002,-30.799999999999983,84.00000000000001,-0.0646517917511833,-0.3900576928825519,-0.10152316061652365,0.3934468163934,-2.136026809301497
2023_03_ATL_DET,2023,3,2023-09-24,DET,ATL,20,6,243,22,33,201,21,38,-166,140,-0.0538635287778996,3.2565460089714295,-0.2823274351090673,-0.2823274351090673,-14.160722494125366,-0.0538635287778996,25.0,26.8,0.0024834308181632173,0.016295869999214625,5.161873701521579,24.4,15.600000000000001,-0.04464078882503945,-0.07860862427331122,2.221405466397603,281.0,111.60000000000001,0.6971428571428572,5.83625,163.8,162.4,0.7375,5.359935897435898,0.6000000000000014,-11.2,117.19999999999999,-50.8,-0.04035714285714287,0.47631410256410156,0.04712421964320267,-0.09490449427252584,2.9404682351239764
2023_03_NO_GB,2023,3,2023-09-24,GB,NO,18,17,259,22,44,204,23,34,105,-125,0.009836378957181,-7.622924724290537,-0.0759624428100979,-0.0759624428100979,2.370156873674954,0.009836378957181,32.4,22.0,0.17001509559835973,-0.06705736112827164,-8.058740568161012,17.6,15.8,-0.01919749603381778,-0.14820441042139162,3.2349995336430597,207.4,88.8,0.5573333333333333,5.369999999999999,277.4,95.0,0.6560196560196561,5.50625,14.799999999999997,-6.199999999999999,-69.99999999999997,-6.200000000000003,-0.09868632268632271,-0.13625000000000043,0.18921259163217752,-0.08114704929311999,-11.293740101804072
2023_03_HOU_JAX,2023,3,2023-09-24,JAX,HOU,17,37,288,29,42,280,20,30,-380,300,-0.0212042341641013,2.7926620841026306,0.2201288027843355,0.2201288027843355,6.139893470139339,-0.0212042341641013,22.2,19.4,-0.2496617983966456,-0.18274195616101882,-1.7245339229702952,13.4,27.4,-0.17697109639400138,0.06810518257989155,-2.095425128936767,230.6,92.6,0.6690476190476191,4.814945652173913,298.8,64.0,0.6371373307543521,4.824261603375527,8.799999999999999,8.0,-68.20000000000002,28.599999999999994,0.03191028829326703,-0.009315951201614325,-0.07269070200264421,0.25084713874091036,0.37089120596647196
2023_03_DEN_MIA,2023,3,2023-09-24,MIA,DEN,70,20,376,25,28,306,23,38,-250,205,0.6172939091973402,18.271142882960184,-0.2724240247207466,-0.2724240247207466,3.946023931105932,0.6172939091973402,31.2,27.2,0.27923092000418953,0.07230755486024068,3.6242571823462426,22.8,24.2,0.09528282482133252,0.1912604913231112,9.991369681363857,379.2,100.0,0.6533333333333333,7.531298865069356,229.4,105.2,0.7014705882352941,5.577641824249166,8.399999999999999,-3.0,149.79999999999998,-5.200000000000003,-0.048137254901960747,1.9536570408201905,0.183948095182857,0.11895293646287053,-6.367112499017614
2023_03_LAC_MIN,2023,3,2023-09-24,MIN,LAC,24,28,367,32,50,454,41,48,-110,-110,0.0146838546746735,0.5094700182477633,0.1594699238986903,0.1594699238986903,15.428810194134712,0.0146838546746735,21.400000000000002,25.6,-0.02668009213319592,-0.022825554487479614,6.270009344463369,30.0,32.4,0.13239059820950982,0.23540948245213422,4.620965190225637,352.0,35.8,0.7318181818181818,6.517575757575758,259.4,164.2,0.6815964523281597,5.899676113360324,-8.599999999999998,6.799999999999997,92.60000000000002,-128.39999999999998,0.05022172949002213,0.6178996442154334,-0.15907069034270574,0.25823503693961386,1.6490441542377319
2023_03_NE_NYJ,2023,3,2023-09-24,NYJ,NE,10,15,157,18,36,201,15,29,120,-142,-0.3254037680778469,-5.833315423556736,-0.0371060734237011,-0.0371060734237011,-4.92865917859254,-0.3254037680778469,17.2,21.6,-0.19064877425811547,-0.008554019336364417,-3.6622979879379276,18.8,24.6,-0.15048803503681868,-0.005138033274708548,1.1097223891152284,152.0,128.8,0.5595959595959595,5.566858080393765,282.0,80.8,0.6841269841269841,4.812567713976165,-1.6000000000000014,3.0,-130.0,48.000000000000014,-0.1245310245310246,0.7542903664176004,-0.04016073922129679,0.003415986061655869,-4.772020377053156
2023_03_BUF_WAS,2023,3,2023-09-24,WAS,BUF,3,37,170,19,29,218,20,32,200,-245,-0.535536039187056,0.0214048500718741,0.1581535416895927,0.1581535416895927,-3.0964242294430733,-0.535536039187056,26.0,22.8,-0.045802416143607784,-0.15647832229315384,-0.5681747814704631,24.8,17.2,0.07870372843778295,-0.10845713960959404,10.736107225092047,240.8,104.0,0.6446650124069478,5.2653613053613055,251.20000000000002,131.4,0.7595253790375741,5.408505564387918,1.1999999999999993,-5.600000000000001,-10.400000000000006,-27.400000000000006,-0.11486036663062626,-0.1431442590266121,-0.12450614458139073,0.0480211826835598,-11.30428200656251
2023_03_CAR_SEA,2023,3,2023-09-24,SEA,CAR,37,27,296,23,36,361,34,58,-225,185,0.1819866516223753,3.2385456562042236,0.0860758889635988,0.0860758889635988,-5.506343590585809,0.1819866516223753,22.6,30.4,0.06479642278649123,0.13918484019471095,5.540959621603425,12.8,22.4,-0.19741297709616396,-0.06199275941549641,-1.940885378468421,198.4,83.8,0.6814258911819888,5.0173264114211555,148.8,132.4,0.5824561403508771,4.307142857142858,9.8,-8.0,49.599999999999994,-48.60000000000001,0.0989697508311117,0.7101835542782977,0.2622093998826552,-0.20117759961020737,7.4818450000718455
